id,father_id,试卷类别,Egs对应标签题型,题型,基本题型,Directions材料题干,选项与解析,题干,正确答案解析,选项是否随机出现,是否依赖上级父题目,子题目是否可以随机出现,资源地址,解析
"0180809223a396e30123a7e1cd720060","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: I just received an email from one of my former classmates. I was surprised, I hadn’t heard from him for ages.<br />W: Well,<br />I’ve been out of touch with most of my old friends,<br />only one or two still drop me a line occasionally.<br />Q: What does the woman mean?<br /></div>","What does the woman mean?","","0","0","2","",""
"0180809223a396e30123a7e3fa2c0062","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: If you can make up your mind about the color, I can start on the outside of your house early next week.<br />W: Well, right now I think<br /> I want white for the window frames and yellow for the walls.<br /> But I’ll let you know tomorrow.<br />Q: Who is the woman talking to?<br /></div>","Who is the woman talking to?","","0","0","2","",""
"0180809223a396e30123a7e6b1390064","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: Excuse me, do you have any apartments available for under 500 dollars a month? I need to move in next week when my new job starts.<br /><DIV >M: The only vacant one I have is 600 dollars.<br />Have you inquired at the apartment complex down the street?<br /></DIV><DIV >&nbsp;</DIV><DIV >Q: What does the man suggest the woman do?</DIV></div>","What does the man suggest the woman do?","","0","0","2","",""
"0180809223a396e30123a7e79ce70066","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: You bought a pair of jeans yesterday, didn’t you? What are they like?<br />M: Oh, they are pretty much like my other ones<br />except with a larger waist. I guess I haven’t spent much time exercising lately.<br />Q: What can we infer from the conversation about the man?<br /></div>","What can we infer from the conversation about the man?","","0","0","2","",""
"0180809223a396e30123a7e8c1080068","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: I really like those abstract paintings we saw yesterday. What do you think?<br />M: I guess<br />it’s something I haven’t acquired a taste for yet.<br />Q: What does the man imply?<br /></div>","What does the man imply?","","0","0","2","",""
"0180809223a396e30123a7ea24ea006a","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: You haven’t seen a blue notebook, have you? I hope I didn’t leave it in the reading room.<br />M:<br />Did you check that pile of journals you borrowed from the library the other day?<br />Q: What is the man trying to say to the woman?<br /></div>","What is the man trying to say to the woman?","","0","0","2","",""
"0180809223a396e30123a7eb9d4e006c","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: How about joining me for a cup of coffee?<br />W: I’d love to,<br />but I’m exhausted. I was up till 3 this morning writing a paper for my literature class.<br />Q: Why does the woman decline the man’s invitation?<br /></div>","Why does the woman decline the man’s invitation?","","0","0","2","",""
"0180809223a396e30123a7ecd801006e","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: You had a job interview yesterday, didn’t you? How did it go?<br />M: Not too bad, I guess. There were about 20 candidates competing for the sales manager’s job. And finally it was down to 3 of us,<br />but the other two seemed better qualified.<br />Q: What does the man imply?<br /></div>","What does the man imply?","","0","0","2","",""
"0180809223c31a440123c55e0045002f","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />. M: I just received an email from one of my former classmates. I was surprised, I hadn’t heard from him for ages.<br />　　W: Well,<br />I’ve been out of touch with most of my old friends,<br />only one or two still drop me a line occasionally.<br />　　Q: What does the woman mean?<br /></div>","What does the woman mean?","","0","0","2","",""
"0180809223c31a440123c56001030031","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: If you can make up your mind about the color, I can start on the outside of your house early next week.<br />　　W: Well, right now I think<br /> I want white for the window frames and yellow for the walls.<br /> But I’ll let you know tomorrow.<br />　　Q: Who is the woman talking to?<br /></div>"," Who is the woman talking to?","","0","0","2","",""
"0180809223c31a440123c561295e0033","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: How about joining me for a cup of coffee?<br />　 W: I’d love to,<br />but I’m exhausted. I was up till 3 this morning writing a paper for my literature class.<br />　 Q: Why does the woman decline the man’s invitation?<br /></div>","Why does the woman decline the man’s invitation?","","0","0","2","",""
"0180809223c31a440123c7247ffb013d","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: There were more than a hundred people at Kate's birthday party. How come she's got so many friends?<br />M: It's really no surprise. You know she was popular even when she was a child<br />Q: What does the man imply about Kate?<br /></div>","What does the man imply about Kate?","","0","0","2","",""
"0180809223c31a440123c7259ba5013f","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: They say there'll be a snow-storm tonight, and the cold weather will last quite a few days.<br />W: Oh! We're so lucky, we'll be getting away for a while, and having a holiday in Florida. But let's call right now to confirm our flight.<br />Q: What do we learn about the two speakers?<br /></div>","What do we learn about the two speakers?","","0","0","2","",""
"0180809223c31a440123c72697760141","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: Tony was awarded a medal for rescuing several families from the forest fire.<br />M: I really admire his courage.<br />Q: What do we learn about Tony from the conversation?<br /></div>","What do we learn about Tony from the conversation?","","0","0","2","",""
"0180809223c31a440123c728440d0143","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: My washing machine is more than fifteen years old and it has worked just fine until last night.<br />W: You’ll never be able to get parts for it, even from Japan. So it might be time to invest a more recent model.<br />Q: What does the woman suggest the man do?<br /></div>","What does the woman suggest the man do?","","0","0","2","",""
"0180809223c31a440123c729548a0145","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: I heard about your promotion, you must be thrilled.<br />M: Not really, the new office is huge, but the word load has doubled.<br />Q: What do we learn about the man from the conversation?<br /></div>","What do we learn about the man from the conversation?","","0","0","2","",""
"0180809223c31a440123c72a62b40147","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: I can’t decide what to do about the party tomorrow.<br />M: You don’t have to go if you don’t want to, but I’ll be glad to give you a ride if you do.<br />Q: What do we learn from the conversation?<br /></div>","What do we learn from the conversation?","","0","0","2","",""
"0180809223c31a440123c72b4e790149","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: Now if you have any questions about the contract. I’ll be happy to answer them.<br />W: Nothing comes to mind right now, but I’d like to go over all the articles of the contract once more before signing it.<br />Q: What are the speakers doing right now?<br /></div>","What are the speakers doing right now?","","0","0","2","",""
"0180809223c31a440123c72c4a96014b","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />M: We are out of paper for the printer. Can you please order some?<br />W: I completed the order form online yesterday and it will be here by noon. I’ll let you know when it comes in.<br />Q: What did the woman do?<br /></div>","What did the woman do?","","0","0","2","",""
"0180809223dc80ee0123df06b8360001","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />&nbsp;Thesis Statement: Difference in eastern western culture causes a thing different in value orientation, Translation of a work of a movie gets a way of direct translation, and, it's possible to admit for an audience. It’s need to changed the Culture in the movie.<br /></div>","What does the man suggest the woman do?","","0","0","2","",""
"0180809223dc80ee0123df08263f0003","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />Ⅰ. Introduction: China's movie translation enterprise has passed through more than 50 year magnificent course, Movie translator offered many outstanding translated movies to the mass audiences.<br /></div>","What can we infer from the conversation about the man?","","0","0","2","",""
"0180809223dc80ee0123df09cd8f0005","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />Through these outstanding translated movies, the audience while understood foreign land local conditions and social customs also to feel the language infinite charm, many splendid dialogues have become the beautiful line which struggled is on everybody's lips.<br /></div>","What does the man imply?","","0","0","2","",""
"0180809223dc80ee0123df0ae1490007","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />&nbsp;If ""there will be bread. All would have. ""(the former Soviet Union film ""Lenin in 1918"") has inspired generations of adversity live audience in China .<br /></div>","What is the man trying to say to the woman?","","0","0","2","",""
"0180809223dc80ee0123df0c82520009","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />Evidently, the film as the mass media, its social effects are incalculable. However, in academic fields, Because of the impact of secular bias, the film is certainly very cold : Translation Studies, Translation Studies seem to completely ignore this area for the.<br /></div>","What does the man imply?","","0","0","2","",""
"01808092246fbc6b01246fda58d10002","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><br />W: Why didn't you make an appointment to see the doctor last week when you began to have a toothache?<br />M: It didn't seem serious then. I decided to come today because my tooth still hurts when I try to eat anything.<br />Q: Why didn't the man see the doctor earlier?<br /></div>","W: Why didn't you make an appointment to see the doctor last week when you began to have a toothache? M: It didn't seem serious then. I decided to come today because my tooth still hurts when I try to eat anything. Q: Why didn't the man see the doctor earlier? ","","0","0","2","",""
"01808092246fbc6b0124705f76e900d6","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><P style=""TEXT-ALIGN: justify"">M: Are you still working at MacDonald's?</P><P style=""TEXT-ALIGN: justify"">W: Not since September. My boyfriend and I opened an Internet Café as soon as he retired from the army.</P></div>","What do we learn about the woman from the conversation?","","0","0","2","/resourcefile/201006/710/20100609132425939.mp3",""
"01808092246fbc6b01247066f8d500dd","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><P>W: Why didn't you make an appointment to see the doctor last week when you began to have a toothache?</P><P>M: It didn't seem serious then. I decided to come today because my tooth still hurts when I try to eat anything.</P></div>","Why didn't the man see the doctor earlier?","","0","0","2","/resourcefile/201006/710/2010060913270463.mp3",""
"0180809223ffcc1a0124337c90a60222","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><P style=""TEXT-ALIGN: justify"">M: May I make an appointment to see Dr. Allison next week?</P><P style=""TEXT-ALIGN: justify"">W: Let me see...&nbsp;Dr. Allison will go to Washington for a conference next Monday morning, and will be back on Thursday night. If you like, you may come on Friday afternoon.</P></div>","When will Dr. Allison be back from Washington?","","0","0","2","/resourcefile/201005/710/20100510091526932.mp3",""
"0180809223ffcc1a0124337e383c0224","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><P style=""TEXT-ALIGN: justify"">W: Would you like to go to the concert with us tomorrow?</P><P style=""TEXT-ALIGN: justify"">M: That's the last thing in the world I ever want to do.</P></div>","What does the man mean? ","","0","0","2","/resourcefile/201005/710/20100510091535750.mp3",""
"0180809223ffcc1a0124337fb9bf0226","","大学英语六级","听力短对话","Multiple Choice","试题材料","","<div id='resourceScript'><P style=""TEXT-ALIGN: justify"">M: Here is your key, Ms. Hawking. And the check-out time is 2:00 pm every day. Please enjoy your stay here.</P><P style=""TEXT-ALIGN: justify"">&nbsp;W: Thanks. Eh...&nbsp;where is the elevator, please?</P></div>","Where is the conversation most probably taking place?","","0","0","2","/resourcefile/201005/710/20100510091543188.mp3",""
