试卷类别,Egs对应标签题型,题型,基本题型,Directions材料题干,选项与解析,正确答案解析,选项是否随机出现,是否依赖上级父题目,子题目是否可以随机出现
"英语专业八级","人文知识","Multiple Choice","选择题","Which has NO direct relationship with the first settlement in America?","Mayflower._|_Separatists.	_|_Puritans._|_Conformists.,3","","0","0","2"
"大学英语四级+大学英语六级","语法","Multiple Choice","选择题","<p style=""text-align: justify"">This is an ideal site for a university ________ it is far from the downtown area.</p>","provided that_|_now that_|_so that_|_in that,3","","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","______ they reached the center of the city, they stopped the car at a restaurant.","Before a mile or so when_|_For a mile or so after_|_Further than a mile or so_|_A mile or so before,3","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Her interest in redecorating the big house kept her ________ for a whole week.<br />","constrained _|_dominated _|_restricted _|_occupied,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The ________ she is in is whether to get married and live her own life or to stay at home supporting the family.<br />","trouble_|_problem_|_choice_|_dilemma,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Though ________ possible punishment, some students are still inclined to cheat on tests.<br />","aware of _|_knowing_|_recognizing_|_being aware ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The product is aimed at young people in the 18 - 25 age _______.<br />","range_|_span_|_reach_|_spread,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He always knew what time it was, as if by ________.<br />","instinct_|_imagination_|_reaction_|_reality,0","","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<p><br />Most nurses are women, but in the higher ranks of the medical profession women are in a ________.<br />&nbsp;</p>","scarcity _|_minority _|_minimum _|_shortage,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Students ________ to the hall for a lecture given by a famous professor.&nbsp;</p>","blocked_|_flocked_|_staggered_|_drifted,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Thousands of people, dead or seriously injured, were buried underneath the ______ of the city after the bombing.&nbsp;</p>","wreckage_|_foundation_|_base_|_destruction,0","","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","I wonder if I shall _______ my history examination.","get through_|_get over _|_get along_|_get across,0","get through 通过；get over （从病中）恢复，克服困难；get along进展，和睦相处；get across解释清楚，使人了解。","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","Fuel scarcities and price increase ________ automobile designers to scale down the largest models and to develop completely new lines of small cars and trucks.","persuaded    _|_prompted _|_imposed _|_enlightened,1","prompt促使（某人做某事）；persuade劝说；impose强迫某人接受某物；enlighten启发，开启，启迪。","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","His ________ directions confused us; we did not know which of the two roads to take.","ambiguous _|_incompatible  _|_inaccessible_|_insignificant,0","ambiguous意义不明确的，模棱两可的；incompatible彼此不相容的，不能共存的；inaccessible很难到达的，达不到的；insignificant无足轻重的。","0","0","2"
"英语专业四级","词汇与语法","Multiple Choice","选择题","His mother and father-in-law who were always ________ kind, were very upset when the marriage broke down.","intentionally_|_simultaneously _|_deliberately    _|_exceptionally
,3","exceptionally异常地，罕有地；intentionally故意地；simultaneously同时地；deliberately故意，蓄意地。","0","0","2"
"大学英语四级","词汇","Multiple Choice","选择题","<br />Susan was elected president by ________ of her academic and organizational abilities.<br />","means _|_way _|_chance _|_virtue,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The creating of the first steam-powered machine, by James Watt, was a(n) ________ idea that required thought and great effort.<br />","spontaneous_|_original_|_previous_|_cautious,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Young children have a limited attention ________ and can't focus on one activity for long.<br />","range_|_span_|_reach_|_spread,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She can't remember committing the murder, although all the facts point to her ________.<br />","guilt_|_intention_|_violence_|_victim,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Still, in their journal articles, these researchers are ________ about telling people to give up dieting.<br />","accurate_|_cautious_|_apparent_|_aware,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Darren has decided to give ________ football at the end of this season.<br />","in_|_for_|_off_|_up,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Mr. Clark and Mr. Chr&eacute;tien may indeed ________ to make up after years of conflict.<br />","contrive_|_acquaint_|_acquire_|_admit,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The fire was started when a passing motorist carelessly ________ a cigarette out of his car.<br />","attached_|_shook_|_tossed_|_turned,2","","0","0","2"
